date_created,time_created,keyword,count
Nov 17 2018,19:00:00-19:59:59,consider,4
Nov 17 2018,19:00:00-19:59:59,before,4
Nov 17 2018,19:00:00-19:59:59,then,,4
Nov 17 2018,19:00:00-19:59:59,them,4
Nov 17 2018,19:00:00-19:59:59,cable,4
Nov 17 2018,19:00:00-19:59:59,giving,4
Nov 17 2018,19:00:00-19:59:59,carry,4
Nov 17 2018,20:00:00-20:59:59,'trump',5
Nov 17 2018,20:00:00-20:59:59,,3
Nov 17 2018,20:00:00-20:59:59,limited,3
Nov 17 2018,20:00:00-20:59:59,all,3
Nov 17 2018,20:00:00-20:59:59,consider,3
Nov 17 2018,20:00:00-20:59:59,over,3
Nov 17 2018,20:00:00-20:59:59,before,3
Nov 17 2018,20:00:00-20:59:59,then,,3
Nov 17 2018,20:00:00-20:59:59,briefings,3
Nov 17 2018,20:00:00-20:59:59,might,3
Nov 17 2018,21:00:00-21:59:59,eat,4
Nov 17 2018,21:00:00-21:59:59,all,3
Nov 17 2018,21:00:00-21:59:59,over,3
Nov 17 2018,21:00:00-21:59:59,them,3
Nov 17 2018,21:00:00-21:59:59,know,3
Nov 17 2018,21:00:00-21:59:59,even,3
Nov 17 2018,21:00:00-21:59:59,lean,2
Nov 17 2018,21:00:00-21:59:59,ffs,2
Nov 17 2018,21:00:00-21:59:59,riceeww,2
Nov 17 2018,21:00:00-21:59:59,slimy,2
Nov 17 2018,22:00:00-22:59:59,white,2
Nov 17 2018,22:00:00-22:59:59,suspending,1
Nov 17 2018,22:00:00-22:59:59,and,1
Nov 17 2018,22:00:00-22:59:59,all,1
Nov 17 2018,22:00:00-22:59:59,jim,1
Nov 17 2018,22:00:00-22:59:59,trump,1
Nov 17 2018,22:00:00-22:59:59,played,1
Nov 17 2018,22:00:00-22:59:59,is,1
Nov 17 2018,22:00:00-22:59:59,hard,1
Nov 17 2018,22:00:00-22:59:59,ffs,1
Nov 18 2018,00:00:00-00:59:59,predictive,1
Nov 18 2018,00:00:00-00:59:59,'nuclear,1
Nov 18 2018,00:00:00-00:59:59,words,1
Nov 18 2018,00:00:00-00:59:59,almost,1
Nov 18 2018,00:00:00-00:59:59,@msmwatchdog2013,1
Nov 18 2018,00:00:00-00:59:59,it,1
Nov 18 2018,00:00:00-00:59:59,'lightning',1
Nov 18 2018,00:00:00-00:59:59,sounds,1
Nov 18 2018,00:00:00-00:59:59,@pvtbobble,1
Nov 18 2018,00:00:00-00:59:59,substitute,1
Nov 18 2018,01:00:00-01:59:59,,6
Nov 18 2018,01:00:00-01:59:59,'trump',4
Nov 18 2018,01:00:00-01:59:59,all,2
Nov 18 2018,01:00:00-01:59:59,kenya,2
Nov 18 2018,01:00:00-01:59:59,them,2
Nov 18 2018,01:00:00-01:59:59,topic,2
Nov 18 2018,01:00:00-01:59:59,saturday,2
Nov 18 2018,01:00:00-01:59:59,ye,2
Nov 18 2018,01:00:00-01:59:59,trending,2
Nov 18 2018,01:00:00-01:59:59,let,2
Nov 18 2018,02:00:00-02:59:59,calling,2
Nov 18 2018,02:00:00-02:59:59,and,1
Nov 18 2018,02:00:00-02:59:59,because,1
Nov 18 2018,02:00:00-02:59:59,feel,1
Nov 18 2018,02:00:00-02:59:59,is,1
Nov 18 2018,02:00:00-02:59:59,am,1
Nov 18 2018,02:00:00-02:59:59,extremly,1
Nov 18 2018,02:00:00-02:59:59,migraines,1
Nov 18 2018,02:00:00-02:59:59,hate,1
Nov 18 2018,02:00:00-02:59:59,'headache',1
Nov 18 2018,03:00:00-03:59:59,'trump',3
Nov 18 2018,03:00:00-03:59:59,about,2
Nov 18 2018,03:00:00-03:59:59,marriage,2
Nov 18 2018,03:00:00-03:59:59,and,1
Nov 18 2018,03:00:00-03:59:59,disloyal,1
Nov 18 2018,03:00:00-03:59:59,sees,1
Nov 18 2018,03:00:00-03:59:59,trump,1
Nov 18 2018,03:00:00-03:59:59,https://tco/c1r5xsqkp8,1
Nov 18 2018,03:00:00-03:59:59,sentence,1
